Time period:,,,,January,,Time period:,,,,February,,Time period:,,,,Maret,,Time period:,,,,April
Timezone,,,,UTC+7,,Timezone,,,,UTC+7,,Timezone,,,,UTC+7,,Timezone,,,,UTC+7
Currency,,,,IDR,,Currency,,,,IDR,,Currency,,,,IDR,,Currency,,,,IDR
,,,,,,,,,,,,,,,,,,,,,,
,,PayLater program fee,,0,,,,PayLater program fee,,0,,,,PayLater program fee,,0,,,,PayLater program fee,,0
,,Campaign resource fee,,0,,,,Campaign resource fee,,0,,,,Campaign resource fee,,0,,,,Campaign resource fee,,0
,,Installation service fee,,0,,,,Installation service fee,,0,,,,Installation service fee,,0,,,,Installation service fee,,0
,,Article 22 Income Tax withheld,,0,,,,Article 22 Income Tax withheld,,0,,,,Article 22 Income Tax withheld,,0,,,,Article 22 Income Tax withheld,,0
,,Platform special service fee,,0,,,,Platform special service fee,,-55615,,,,Platform special service fee,,0,,,,Platform special service fee,,0
,,GMV Max ad fee,,0,,,,GMV Max ad fee,,0,,,,GMV Max ad fee,,0,,,,GMV Max ad fee,,0
,,GMV Max coupon,,0,,,,GMV Max coupon,,0,,,,GMV Max coupon,,0,,,,GMV Max coupon,,0
,,GMV Max coupon sales tax,,0,,,,GMV Max coupon sales tax,,0,,,,GMV Max coupon sales tax,,0,,,,GMV Max coupon sales tax,,0
,,Managed service plan (Sales tax),,0,,,,Managed service plan (Sales tax),,0,,,,Managed service plan (Sales tax),,0,,,,Managed service plan (Sales tax),,0
,,Managed service plan (Per order fee),,0,,,,Managed service plan (Per order fee),,0,,,,Managed service plan (Per order fee),,0,,,,Managed service plan (Per order fee),,0
,Total adjustments,,,-142857345,,,Total adjustments,,,-212865330,,,Total adjustments,,,-78796847,,,Total adjustments,,,-460104742
,,Shipping fee adjustment,,0,,,,Shipping fee adjustment,,0,,,,Shipping fee adjustment,,0,,,,Shipping fee adjustment,,0
,,Shipping fee compensation,,0,,,,Shipping fee compensation,,0,,,,Shipping fee compensation,,0,,,,Shipping fee compensation,,0
,,Chargeback,,0,,,,Chargeback,,0,,,,Chargeback,,0,,,,Chargeback,,0
,,Customer service compensation,,0,,,,Customer service compensation,,0,,,,Customer service compensation,,0,,,,Customer service compensation,,0
,,Promotion adjustment,,0,,,,Promotion adjustment,,0,,,,Promotion adjustment,,0,,,,Promotion adjustment,,0
,,Platform compensation,,0,,,,Platform compensation,,0,,,,Platform compensation,,0,,,,Platform compensation,,0
,,Platform penalty,,0,,,,Platform penalty,,0,,,,Platform penalty,,0,,,,Platform penalty,,0
,,Sample shipping fee,,0,,,,Sample shipping fee,,0,,,,Sample shipping fee,,0,,,,Sample shipping fee,,0
,,Logistics reimbursement,,5801063,,,,Logistics reimbursement,,2934670,,,,Logistics reimbursement,,4069155,,,,Logistics reimbursement,,2219286
,,Platform reimbursement,,0,,,,Platform reimbursement,,0,,,,Platform reimbursement,,0,,,,Platform reimbursement,,0
,,Deductions incurred by seller,,0,,,,Deductions incurred by seller,,0,,,,Deductions incurred by seller,,0,,,,Deductions incurred by seller,,0
,,Shipping fee rebate,,0,,,,Shipping fee rebate,,0,,,,Shipping fee rebate,,0,,,,Shipping fee rebate,,0
,,Warehouse service fee,,0,,,,Warehouse service fee,,0,,,,Warehouse service fee,,0,,,,Warehouse service fee,,0
,,Platform commission adjustment,,0,,,,Platform commission adjustment,,0,,,,Platform commission adjustment,,0,,,,Platform commission adjustment,,0
,,Platform commission compensation,,0,,,,Platform commission compensation,,0,,,,Platform commission compensation,,0,,,,Platform commission compensation,,0
,,Transaction fee adjustment,,0,,,,Transaction fee adjustment,,0,,,,Transaction fee adjustment,,0,,,,Transaction fee adjustment,,0
,,Campaign Package,,-83000000,,,,Campaign Package,,-215800000,,,,Campaign Package,,-83000000,,,,Campaign Package,,-Rp83.000.000
,,Additional Campaign Package,,-65827406,,,,Additional Campaign Package,,0,,,,Additional Campaign Package,,0,,,,Additional Campaign Package,,-Rp379.324.028
,,GMV Payment for Promote,,0,,,,GMV Payment for Promote,,0,,,,GMV Payment for Promote,,0,,,,GMV Payment for Promote,,0
,,GMV Payment for TikTok Ads,,0,,,,GMV Payment for TikTok Ads,,0,,,,GMV Payment for TikTok Ads,,0,,,,GMV Payment for TikTok Ads,,0
,,Shipping insurance compensation,,168998,,,,Shipping insurance compensation,,0,,,,Shipping insurance compensation,,133998,,,,Shipping insurance compensation,,0
,,Campaign resource fee Compensation,,0,,,,Campaign resource fee Compensation,,0,,,,Campaign resource fee Compensation,,0,,,,Campaign resource fee Compensation,,0
,,Other adjustment,,0,,,,Other adjustment,,0,,,,Other adjustment,,0,,,,Other adjustment,,0
,,Platform semi-managed service fee,,0,,,,Platform semi-managed service fee,,0,,,,Platform semi-managed service fee,,0,,,,Platform semi-managed service fee,,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Fee explanation,,,,,,,,,,,,,,,,,,,,,,
Name,Explanation,,,,,,,,,,,,,,,,,,,,,
Order/adjustment ID,Transaction ID,,,,,,,,,,,,,,,,,,,,,
Type,Order/adjustment,,,,,,,,,,,,,,,,,,,,,
Order created time,Creation time of the order.,,,,,,,,,,,,,,,,,,,,,
Order settled time,Time of settlement of the order to your account balance.,,,,,,,,,,,,,,,,,,,,,
Currency,IDR,,,,,,,,,,,,,,,,,,,,,
Total settlement amount,The final amount to be settled to your account balance as per calculated by the platform,,,,,,,,,,,,,,,,,,,,,
Subtotal after seller discounts,The subtotal after seller discounts is the price after the seller's discounts are deducted,,,,,,,,,,,,,,,,,,,,,
Subtotal before discounts,The subtotal before discounts is the total price before the seller's and TikTok Shop's discounts are deducted,,,,,,,,,,,,,,,,,,,,,
Seller discounts,"Seller discounts are promotions funded by the seller, such as coupons or product discounts",,,,,,,,,,,,,,,,,,,,,
Distance item fee from Horizon+ Program,"The distance fee for items paid by the customer. With your current settings for Horizon+ Program, this fee is included in product price for orders with shipping out of Java island.",,,,,,,,,,,,,,,,,,,,,
Refund subtotal after seller discounts,The subtotal for refunded SKUs after seller discounts,,,,,,,,,,,,,,,,,,,,,
Refund subtotal before seller discounts,The subtotal for refunded SKUs before seller discounts,,,,,,,,,,,,,,,,,,,,,
Refund of seller discounts,The discount refunded to the seller,,,,,,,,,,,,,,,,,,,,,
Platform commission fee,,,,,,,,,,,,,,,,,,,,,,
Pre-order service fee,,,,,,,,,,,,,,,,,,,,,,
Mall service fee,"The Mall service fee ensures the convenient fulfillment of Mall orders. This fee is calculated based on the item price after seller discount x based category rate, or up to a maximum of Rp 50.000.",,,,,,,,,,,,,,,,,,,,,
Payment Fee,"The technical service fee charged for the platform's online payment, refund, settlement and other functions.(Payment fee =(customer payment - refund) * rate %))",,,,,,,,,,,,,,,,,,,,,
Shipping cost,The net shipping cost borne by the seller when there is a weight difference or the seller has provided a shipping cost discount to the customer.,,,,,,,,,,,,,,,,,,,,,
Shipping costs passed on to the logistics provider,The shipping cost passed on to the logistics provider calculated based on the weight/dimensions measured by the provider,,,,,,,,,,,,,,,,,,,,,
Replacement shipping fee (passed on to the customer),Shipping fee cost passed on to the customer for replacement delivery,,,,,,,,,,,,,,,,,,,,,
Exchange shipping fee (passed on to the customer),Shipping fee cost passed on to the customer for exchange delivery,,,,,,,,,,,,,,,,,,,,,
Shipping cost borne by the platform,The shipping cost incentive provided by the platform,,,,,,,,,,,,,,,,,,,,,
Shipping cost paid by the customer,The shipping cost paid by the customer based on the product weight you uploaded,,,,,,,,,,,,,,,,,,,,,
Refunded shipping cost paid by the customer,The shipping cost amount that was initially paid by the customer and has since been refunded to them,,,,,,,,,,,,,,,,,,,,,
Return shipping costs (passed on to the customer),The shipping cost passed on to the customer for return deliveries,,,,,,,,,,,,,,,,,,,,,
Shipping cost subsidy,A positive amount represents a shipping cost subsidy you've received and a negative amount represents a shipping cost subsidy you need to return,,,,,,,,,,,,,,,,,,,,,
Distance shipping fee from Horizon+ Program,"The distance fee for shipping paid by the customer. With your current settings for Horizon+ Program, this fee is included in product price for orders with shipping out of Java island.",,,,,,,,,,,,,,,,,,,,,
Affiliate Commission,"(Product price (excl. tax) - Seller discount) * Commission rate. If refunds occur after order settlement, affiliate commission will not be refunded.",,,,,,,,,,,,,,,,,,,,,
Affiliate partner commission,"(Product price (excl. tax) - Seller discount) * Affiliate partner commission rate. If refunds occur after order settlement, affiliate partner commission will not be refunded.",,,,,,,,,,,,,,,,,,,,,
Affiliate Shop Ads commission,"(Product price (excl. tax) - Seller discount) * Ads commission rate. If refunds occur after order settlement, affiliate Shop Ads commission will not be refunded.",,,,,,,,,,,,,,,,,,,,,
Affiliate Partner shop ads commission,"The advertising commission cost a seller pays to
TikTok Shop Affiliate Partner (TAP)",,,,,,,,,,,,,,,,,,,,,
Shipping Fee Program service fee,"In consideration of your participation in the program and the benefits, we charge you the service fees in accordance with",,,,,,,,,,,,,,,,,,,,,
Dynamic commission,Dynamic commission fee is the amount the platform charges to all sellers for every successfully delivered order,,,,,,,,,,,,,,,,,,,,,
Bonus cashback service fee,TikTok charges you a fee for participating in the cashback program and receiving its benefits.,,,,,,,,,,,,,,,,,,,,,
LIVE Specials service fee,Participation in the LIVE Specials program will incur the relevant service fee.,,,,,,,,,,,,,,,,,,,,,
Voucher Xtra service fee,"A service charge that applies to sellers participating in the Voucher Xtra program, as stated during registration.",,,,,,,,,,,,,,,,,,,,,
Order processing fee,Order processing fee is a fixed service charge applied to all transactions made through the platform. It's for the platform's operational costs for processing and fulfilling orders.,,,,,,,,,,,,,,,,,,,,,
EAMS Program service fee,"Service fee for participating in External Affiliate Marketing Solution Program, as stated during registration",,,,,,,,,,,,,,,,,,,,,
Brands Crazy Deals/Flash Sale service fee,Fee charged to sellers participating in Brands Crazy Deals/Flash Sale campaign,,,,,,,,,,,,,,,,,,,,,
Dilayani Tokopedia fee,Dilayani Tokopedia fee,,,,,,,,,,,,,,,,,,,,,
Dilayani Tokopedia handling fee,The handling fee charged to sellers for Dilayani Tokopedia orders,,,,,,,,,,,,,,,,,,,,,
PayLater program fee,Fee charged to seller for joining PayLater program,,,,,,,,,,,,,,,,,,,,,
Campaign resource fee,Amount of campaign resource fee from program seller joining in,,,,,,,,,,,,,,,,,,,,,
Installation service fee,The fee TikTok Shop charges you for using platform installation service,,,,,,,,,,,,,,,,,,,,,
Article 22 Income Tax withheld,Article 22 Income Tax withheld by the platform under PMK 37/2025,,,,,,,,,,,,,,,,,,,,,
Platform special service fee,"The portion of the Distance Shipping Fee paid by the customer that exceeds the logistics service provider's charge, retained by TikTok Shop to support a secure fulfillment experience",,,,,,,,,,,,,,,,,,,,,
GMV Max ad fee,A percentage deducted from your net sales per order for GMV Max (net sales performance goal) advertising.,,,,,,,,,,,,,,,,,,,,,
GMV Max coupon,The cost of GMV Max coupons.,,,,,,,,,,,,,,,,,,,,,
GMV Max coupon sales tax,Sales tax applied to GMV Max coupon costs.,,,,,,,,,,,,,,,,,,,,,
Managed service plan (Sales tax),Managed service plan (Per order fee),,,,,,,,,,,,,,,,,,,,,
Managed service plan (Per order fee),Calculated as a percentage of (original price − seller discount + customer-paid shipping fee).,,,,,,,,,,,,,,,,,,,,,
Ajustment amount,The adjustment amount,,,,,,,,,,,,,,,,,,,,,
Related order ID,"Orders related to the adjustments, if any.",,,,,,,,,,,,,,,,,,,,,
Different types of adjustments,,,,,,,,,,,,,,,,,,,,,,
Shipping fee adjustment,Adjustment when there are differences with or mistakes in the shipping fee paid by the seller,,,,,,,,,,,,,,,,,,,,,
Shipping fee compensation,Compensation to sellers due to differences between the actual shipping fee and the pre-paid shipping fee,,,,,,,,,,,,,,,,,,,,,
Chargeback,The charge that is returned to a payment card after a customer has successfully disputed an item on their account statement or transactions report,,,,,,,,,,,,,,,,,,,,,
Customer service compensation,Compensation paid by customer service to customer after the after-sales period is completed or extra compensation is paid,,,,,,,,,,,,,,,,,,,,,
Promotion adjustment,Adjustment when there are differences in the marketing activities paid by the seller,,,,,,,,,,,,,,,,,,,,,
Platform compensation,Compensation to seller as a result of seller's success in appealing from a customer dispute.,,,,,,,,,,,,,,,,,,,,,
Platform penalty,"After identifying a violation towards our policies, we have deducted the corresponding penalty amount from your account in accordance with our policies. Please see the notification that was sent to your email address.",,,,,,,,,,,,,,,,,,,,,
Sample shipping fee,Fees are charged for sending samples using platform logistics provider,,,,,,,,,,,,,,,,,,,,,
Logistics reimbursement,"Your order has been lost or damaged due to logistics issues. We apologize sincerely for this issue, and we have provided reimbursement for this order.",,,,,,,,,,,,,,,,,,,,,
,"The platform has verified the return or refund order ID with logistics, and the return/refund request for the order has been approved. Since the reason for this refund is not the responsibility of the seller, TikTok has paid the refund amount to the customer.",,,,,,,,,,,,,,,,,,,,,
,Reimbursement paid by TikTok Shop for losses due to logistics-related issues,,,,,,,,,,,,,,,,,,,,,
Platform reimbursement,"Platform refund without return: Order has been processed using the TikTok refund without return policy. Since the buyer is responsible for the issue with the order, we have provided reimbursement to cover the loss. Refer to the TikTok refund without return policy for more details.",,,,,,,,,,,,,,,,,,,,,
,"Platform refund without return: Order has been processed using the TikTok refund without return policy. Once we've reviewed the order, you may receive a subsidy to help neutralize your costs. Refer to the TikTok refund without return policy for more details.",,,,,,,,,,,,,,,,,,,,,
,"The platform has verified the return or refund order ID, and the return/refund request for the order has been approved. Since the reason for this refund is not the responsibility of seller, TikTok has borne the refund amount to the customer.",,,,,,,,,,,,,,,,,,,,,
,Subsidy paid by TikTok Shop as a result of customer dissatisfaction,,,,,,,,,,,,,,,,,,,,,
Deductions incurred by seller,"User has submitted a 'Return and Refund' request for an order. According to TikTok Shop policy, the seller will be liable for return shipping costs if the return or refund is caused by a product issue or late delivery.",,,,,,,,,,,,,,,,,,,,,
,"Order was found to meet the definition of fraud, and to either have one of the following issues, or other similar issues: empty package sent to customer, items sent not matching those on the product display page, items sent of lower value than advertised. The seller is responsible for costs related to this issue.",,,,,,,,,,,,,,,,,,,,,
,"According to the TikTok Shop Anti-counterfeit Policy, the product under order is considered counterfeit. The seller is responsible for costs related to this issue.",,,,,,,,,,,,,,,,,,,,,
,"The product for order is considered defective and to have created a negative experience for the customer. According to TikTok Shop's policy, the seller is responsible for the cost of the compensation voucher provided to the customer.",,,,,,,,,,,,,,,,,,,,,
,"When a customer is unhappy with their experience due to an issue that is the seller's responsibility, the seller is responsible for related costs.",,,,,,,,,,,,,,,,,,,,,
Shipping fee rebate,The shipping fee rebate given to the seller as part of seller's participation in a platform campaign,,,,,,,,,,,,,,,,,,,,,
